
67580301, 67580000, $GPGGA,184620.00,2227.98390,S,06855.73467,W,2,10,1.05,2296.3,M,33.1,M,,0000*60
67580359,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,,,2.36,1.05,2.11*0E
67581303, 67581000, $GPGGA,184621.00,2227.98404,S,06855.73465,W,2,10,0.83,2295.5,M,33.1,M,,0000*63
67581361,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,,,1.58,0.83,1.34*0E
67582304, 67582000, $GPGGA,184622.00,2227.98419,S,06855.73462,W,2,10,0.83,2294.7,M,33.1,M,,0000*68
67582362,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,,,1.58,0.83,1.34*0E
67583298, 67583000, $GPGGA,184623.00,2227.98433,S,06855.73460,W,2,11,0.83,2293.9,M,33.1,M,,0000*6B
67583356,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,22,,1.58,0.83,1.34*0E
67584301, 67584000, $GPGGA,184624.00,2227.98443,S,06855.73459,W,2,10,0.83,2293.2,M,33.1,M,,0000*6B
67584359,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,,,1.58,0.83,1.34*0E
67585304, 67585000, $GPGGA,184625.00,2227.98457,S,06855.73457,W,2,10,0.84,2292.5,M,33.1,M,,0000*60
67585362,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,,,1.68,0.84,1.46*0F
67586302, 67586000, $GPGGA,184626.00,2227.98471,S,06855.73456,W,2,10,0.83,2291.6,M,33.1,M,,0000*61
67586360,        0, $GPGSA,A,3,18,24,02,12,29,32,48,25,31,11,,,1.58,0.83,1.34*0E
